"","Gene Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction","Checked","Protein FDR Confidence: Combined","Master","Accession","Description","Exp. q_value: Combined","Sum PEP Score","Coverage [%]","No Peptides","No Isoforms","No PSMs","No Unique Peptides","No AAs","MW [kDa]","calc. pI","Score Sequest HT: Sequest HT","No Peptides (by Search Engine): Sequest HT","Biological Process","Cellular Component","Molecular Function","Pfam IDs","Entrez Gene ID","Gene ID","Ensembl Gene ID","Reactome Pathways","WikiPathways","No Protein Pathway Groups","No Razor Peptides","Abundances (Grouped): 2G11_Control_DMSO_1","Abundances (Grouped): 2G11_Control_DMSO_2","Abundances (Grouped): 2G11_Control_DMSO_3","Abundances (Grouped): SI8_AD_Abeta42_1","Abundances (Grouped): SI8_AD_Abeta42_2","Abundances (Grouped): SI8_AD_Abeta42_3","Abundances (Grouped): SI8_AD_Abeta42_Losma_1","Abundances (Grouped): SI8_AD_Abeta42_Losma_2","Abundances (Grouped): SI8_AD_Abeta42_Losma_3","Found in Sample: [S1] F1: 126, Sample, 2G11_Control_DMSO_1","Found in Sample: [S2] F1: 127N, Sample, 2G11_Control_DMSO_2","Found in Sample: [S3] F1: 127C, Sample, 2G11_Control_DMSO_3","Found in Sample: [S10] F1: 131, Sample, 2G11_Losma","Found in Sample: [S4] F1: 128N, Sample, SI8_AD_Abeta42_1","Found in Sample: [S5] F1: 128C, Sample, SI8_AD_Abeta42_2","Found in Sample: [S6] F1: 129N, Sample, SI8_AD_Abeta42_3","Found in Sample: [S7] F1: 129C, Sample, SI8_AD_Abeta42_Losma_1","Found in Sample: [S8] F1: 130N, Sample, SI8_AD_Abeta42_Losma_2","Found in Sample: [S9] F1: 130C, Sample, SI8_AD_Abeta42_Losma_3","No Protein Groups","Modifications","missing","ENSEMBL"
"938","CTNND1",-0.20129563898134,6.67461233731279,-1.40627370260451,0.191210863590398,0.332682440703123,-6.02372835509923,"NONE",FALSE,"High","Master Protein","O60716-3","Isoform 1AC of Catenin delta-1 [OS=Homo sapiens]",0,109.963,11,8,13,37,8,939,104.9,6.87,122.86,8,NA,NA,NA,NA,NA,"O60716-3",NA,NA,NA,0,0,89.7,85.2,87.7,114.3,91.2,139.8,104.3,114.9,92.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T177(100); S252(100); S268(99.8); S349(100); S352(100); S864(100); S920(100)]",0,"ENSG00000198561"
"939","ZNF687",0.139412284712307,6.60163184989195,1.4029153060848,0.192180399343056,0.334013218027548,-6.02800688584459,"NONE",FALSE,"High","Master Protein","Q8N1G0","Zinc finger protein 687 [OS=Homo sapiens]",0,41.293,3,2,2,3,2,1237,129.4,8.19,11.81,2,"other biological processes","cytosol;nucleus","nucleic acid binding activity;other molecular function","Pf00096, Pf16622","57592","D3DV17; hsa:57592; Q68DQ8; Q8N1G0; Q9H937; Q9P2A7","ENSG00000143373",NA,NA,0,0,122.1,115.2,112.7,86.9,65.2,94.2,104,89.9,95.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S253(100); S1191(100)]",0,"ENSG00000143373"
"940","PLEC",-0.138536716600959,6.66625874854175,-1.39900342587956,0.193315009385874,0.335627760976326,-6.03298207640909,"NONE",FALSE,"High","Master Protein","Q15149","Plectin [OS=Homo sapiens]",0,289.56,5,17,35,94,17,4684,531.5,5.96,279.59,17,"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;other cell component","cytoskeletal activity;other molecular function","Pf00307, Pf00681, Pf03501, Pf17902, Pf18373, Pf21019, Pf21020, Pf21097","5339","hsa:5339; Q15148; Q15149; Q16640; Q6S376; Q6S377; Q6S378; Q6S379; Q6S380; Q6S381; Q6S382; Q6S383","ENSG00000178209","Assembly of collagen fibrils and other multimeric structures; Caspase-mediated cleavage of cytoskeletal proteins; Type I hemidesmosome assembly","Envelope proteins and their potential roles in EDMD physiopathology",4,0,82.4,79,82.1,117.1,108.4,125.4,95.6,116.4,114.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S149(100); S720(100); S1047(100); S1435(100); S1721(100); S1732(100); T4030(100); S4386(99.7); S4389(100); S4396(100); S4613(100); S4616(100); T4623(99.6); S4675(99.4)]",0,"ENSG00000178209"
"941","LRCH4",-0.192885963050893,6.64833722693943,-1.3976084331847,0.193720996005868,0.335975202424629,-6.03475404039338,"NONE",FALSE,"High","Master Protein","O75427","Leucine-rich repeat and calponin homology domain-containing protein 4 [OS=Homo sapiens]",0,13.179,3,1,1,1,1,683,73.4,8.22,4.2,1,"cell organization and biogenesis;developmental processes;other biological processes","plasma membrane;other membranes;nucleus",NA,"Pf00307, Pf13855","4034","A4D2D5; hsa:4034; O75427; Q8WV85; Q96ID0","ENSG00000077454",NA,NA,0,0,91.9,81.8,92.3,113.4,148,92.8,102.8,102.5,98.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S513(98.6)]",0,"ENSG00000077454"
"942","KHSRP",-0.135773003142846,6.63144069914197,-1.39687370523864,0.19393511703744,0.335989502128558,-6.03568684729422,"NONE",FALSE,"High","Master Protein","Q92945","Far upstream element-binding protein 2 [OS=Homo sapiens]",0,16.187,3,2,2,3,2,711,73.1,7.3,10.7,2,"protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00013, Pf09005","8570","hsa:8570; O00301; Q59EZ9; Q5U4P6; Q92945; Q9UNT5; Q9UQH5","ENSG00000088247","ATF4 activates genes in response to endoplasmic reticulum  stress; KSRP (KHSRP) binds and destabilizes mRNA","Pre-implantation embryo",3,0,98.8,99.3,98.1,102.9,117.2,94.1,91.1,96.4,105.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S181(100); S480(100)]",0,"ENSG00000088247"
"943","MSH6",0.102972873099595,6.56971897969967,1.39542888065226,0.194356769356427,0.336362934877719,-6.03752024680506,"NONE",FALSE,"High","Master Protein","P52701","DNA mismatch repair protein Msh6 [OS=Homo sapiens]",0,14.508,2,2,2,2,2,1360,152.7,6.9,5.6,2,"cell cycle OR cell proliferation;DNA metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","cytosol;ER/Golgi;nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00488, Pf00855, Pf01624, Pf05188, Pf05190, Pf05192","2956","B4DF41; B4E3I4; F5H2F9; hsa:2956; O43706; O43917; P52701; Q8TCX4; Q9BTB5","ENSG00000116062","Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha); Defective Mismatch Repair Associated With MSH2; Defective Mismatch Repair Associated With MSH6","Glioblastoma signaling pathways; Retinoblastoma gene in cancer; Chromosomal and microsatellite instability in colorectal cancer ; DNA repair pathways, full network; DNA mismatch repair",8,0,113.8,111.4,105.8,90.3,71.2,85.7,95.3,97.6,90.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S137(99.6); S227(100)]",0,"ENSG00000116062"
"944","MYO18A",-0.181722163914635,6.65805357214083,-1.39396901991136,0.19478360304665,0.336672397964188,-6.03937145585387,"NONE",FALSE,"High","Master Protein","Q92614","Unconventional myosin-XVIIIa [OS=Homo sapiens]",0,26.855,2,4,4,4,4,2054,233,6.3,12.85,4,"cell organization and biogenesis;DNA metabolism;other metabolic processes;transport;other biological processes","other membranes;cytoskeleton;ER/Golgi;other cell component","cytoskeletal activity;nucleic acid binding activity;other molecular function","Pf00063, Pf00595, Pf01576","399687","hsa:399687; Q5H9U3; Q5QD01; Q5W9F9; Q5W9G1; Q8IXP8; Q92614","ENSG00000196535","Signaling by cytosolic FGFR1 fusion mutants; Signaling by FGFR1 in disease; Signaling by FLT3 fusion proteins",NA,3,0,75.9,72.9,71.4,135,99.3,130.8,103.3,122,109,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S140(100); S987(100); S1640(100); S1998(100)]",0,"ENSG00000196535"
"945","HNRNPU",-0.0989019348321936,6.40541233492189,-1.39340688881738,0.194948171615293,0.336672397964188,-6.04008393787073,"NONE",FALSE,"High","Master Protein","Q00839","Heterogeneous nuclear ribonucleoprotein U [OS=Homo sapiens]",0,83.946,13,9,9,13,9,825,90.5,6,38.89,9,"cell cycle OR cell proliferation;cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;transport;developmental processes;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;nucleic acid binding activity;other molecular function","Pf00622, Pf02037, Pf13671","3192","hsa:3192; O75507; Q00839; Q8N174; Q96HY9; Q9BQ09","ENSG00000153187","mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA","mRNA processing; lncRNA in canonical Wnt signaling and colorectal cancer",4,0,159.4,148.6,139.9,62.2,52.2,69.2,67.6,69.6,70,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S59(100); S192(99.4)]",0,"ENSG00000153187"
"946","FARP2",0.100777972366749,6.61131735754977,1.39141540929935,0.195532147130738,0.337323957840766,-6.04260654340347,"NONE",FALSE,"High","Master Protein","O94887","FERM, ARHGEF and pleckstrin domain-containing protein 2 [OS=Homo sapiens]",0,32.472,4,3,4,5,3,1054,119.8,8.79,13.96,3,"cell adhesion;cell organization and biogenesis;developmental processes;signal transduction;other biological processes","cytosol;cytoskeleton;other cell component","enzyme regulator activity;cytoskeletal activity","Pf00169, Pf00373, Pf00621, Pf08736, Pf09379, Pf09380","9855","B7Z6J8; F5GZ84; hsa:9855; O94887; Q53QM5; Q8WU27; Q9UFE7","ENSG00000006607","RAC1 GTPase cycle; SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion","2q37 copy number variation syndrome; TAR syndrome",4,0,114.4,114.4,115.4,85.2,77.5,92.2,100,97.9,91.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T22(100); S439(100)]",0,"ENSG00000006607"
"947","NAP1L1",-0.196858342968671,6.68478168516874,-1.38993661369238,0.195966747741642,0.337716718388975,-6.04447818999731,"NONE",FALSE,"High","Master Protein","P55209","Nucleosome assembly protein 1-like 1 [OS=Homo sapiens]",0,27.422,4,1,2,5,1,391,45.3,4.46,17.93,1,"cell organization and biogenesis;DNA metabolism;other metabolic processes;developmental processes;other biological processes","nucleus;other cell component","other molecular function","Pf00956","4673","B3KNT8; B3KV44; hsa:4673; P55209","ENSG00000187109",NA,"VEGFA-VEGFR2 signaling; Overlap between signal transduction pathways contributing to LMNA laminopathies",2,0,65.7,64.2,81.2,135.5,116.1,135.8,127.5,116.4,101.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T62(100); S69(100)]",0,"ENSG00000187109"
"948","POP1",-0.180239734769361,6.38985221095278,-1.38715621642385,0.196786099676751,0.338771007038457,-6.0479936504317,"NONE",FALSE,"High","Master Protein","Q99575","Ribonucleases P/MRP protein subunit POP1 [OS=Homo sapiens]",0,15.2,2,1,1,2,1,1024,114.6,9.22,8.18,1,"RNA metabolism OR transcription;other metabolic processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf06978, Pf08170","10940","A8K5W9; Q15037; Q99575","ENSG00000104356","tRNA processing in the nucleus",NA,1,0,140,158.5,130.1,59.5,71.9,62.3,67,62.7,75.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S367(100)]",0,"ENSG00000104356"
"949","PABPC1",-0.568848939743885,6.1577818741191,-1.38481895971164,0.197477115297275,0.339602373198264,-6.05094520691899,"NONE",FALSE,"High","Master Protein","P11940","Polyadenylate-binding protein 1 [OS=Homo sapiens]",0,3.265,2,1,1,1,1,636,70.6,9.5,2.58,1,"RNA metabolism OR transcription;other metabolic processes;other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity","Pf00076, Pf00658","26986","hsa:26986; P11940; Q15097; Q93004","ENSG00000070756","AUF1 (hnRNP D0) binds and destabilizes mRNA; Regulation of expression of SLITs and ROBOs; Deadenylation of mRNA; M-decay: degradation of maternal mRNAs by maternally stored factors; L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Z-decay: degradation of maternal mRNAs by zygotically expressed factors","Translation factors; Endoderm differentiation; VEGFA-VEGFR2 signaling; Acute viral myocarditis",13,0,215.9,132.1,112.5,55.1,50,60.6,80.8,42.4,53.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T319(100)]",0,"ENSG00000070756"
"950","CCNK",0.128649583828379,6.62041744203388,1.38263918953369,0.198123427193419,0.340355192820694,-6.05369490796024,"NONE",FALSE,"High","Master Protein","O75909-1","Isoform 3 of Cyclin-K [OS=Homo sapiens]",0,21.272,6,2,3,7,2,357,41.3,8.15,20.28,2,NA,NA,NA,NA,NA,"O75909-1",NA,NA,NA,0,0,104.7,109.2,102.2,91.3,99.6,80.8,100,99.8,103.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S324(100); S340(100)]",0,"ENSG00000090061"
"951","NAPA",-0.269187350778616,6.60306591299706,-1.38013207493923,0.198869019177296,0.341276802626021,-6.05685398239195,"NONE",FALSE,"High","Master Protein","P54920","Alpha-soluble NSF attachment protein [OS=Homo sapiens]",0,26.022,6,1,1,2,1,295,33.2,5.36,7.5,1,"cell-cell signaling;cell organization and biogenesis;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;other cell component","other molecular function","Pf14938","8775","A8K879; hsa:8775; P54920; Q96IK3; Q9BVJ3","ENSG00000105402","COPI-dependent Golgi-to-ER retrograde traffic; COPI-mediated anterograde transport; Golgi Associated Vesicle Biogenesis; Intra-Golgi traffic; COPII-mediated vesicle transport; Retrograde transport at the Trans-Golgi-Network","Synaptic vesicle pathway; VEGFA-VEGFR2 signaling",8,0,59.5,95.2,57,128.6,138.2,117.8,107.5,118.2,94.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S195(100)]",0,"ENSG00000105402"
"952","CCDC88A",0.0926850166696296,6.67831116300618,1.37935030355218,0.199101997207561,0.341317709498675,-6.05783826853389,"NONE",FALSE,"High","Master Protein","Q3V6T2","Girdin [OS=Homo sapiens]",0,78.539,4,6,12,22,6,1871,215.9,6.21,55.13,6,"cell organization and biogenesis;DNA metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;other molecular function","Pf19047","55704","A1IGE7; B7ZM78; C9JG83; hsa:55704; Q3V6T2; Q53SF1; Q581G3; Q5HYD0; Q7Z339; Q7Z3C5","ENSG00000115355","RND3 GTPase cycle; RND1 GTPase cycle","Mesodermal commitment pathway",3,0,94,95.2,99.4,102.5,92,107.1,106.4,112.2,108.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S1417(100); S1653(99.7); T1673(99.5); S1675(99.5); S1701(99.5); S1702(99.7); S1717(100); S1820(99.5)]",0,"ENSG00000115355"
"953","PHIP",-0.126686576170424,6.28549399427586,-1.37001422331338,0.201902209249725,0.345754885095017,-6.06956405967561,"NONE",FALSE,"High","Master Protein","Q8WWQ0","PH-interacting protein [OS=Homo sapiens]",0,34.67,2,3,3,12,3,1821,206.6,8.85,12.41,3,"cell organization and biogenesis;signal transduction;other biological processes","nucleus","signal transduction activity or receptor binding;other molecular function","Pf00400, Pf00439","55023","A7J992; B2RPK4; hsa:55023; Q05CQ9; Q5VVH4; Q66I29; Q69YV1; Q8NBZ5; Q8WWQ0; Q96H52; Q96ME2; Q9H261","ENSG00000146247","RHOBTB2 GTPase cycle",NA,1,0,171.7,161.1,162.7,53.8,39.5,56.2,63.2,53.7,64.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S1783(100)]",0,"ENSG00000146247"
"954","PRKAR2B",-0.154383451582271,6.63003380273042,-1.36080271098734,0.204697668023417,0.349858785152269,-6.0810810888646,"NONE",FALSE,"High","Master Protein","P31323","cAMP-dependent protein kinase type II-beta regulatory subunit [OS=Homo sapiens]",0,16.205,9,2,2,3,2,418,46.3,4.92,12.03,2,"other metabolic processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","enzyme regulator activity;other molecular function","Pf00027, Pf02197","5577","A4D0R9; hsa:5577; P31323","ENSG00000005249","FCGR3A-mediated IL10 synthesis; Recruitment of NuMA to mitotic centrosomes; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Anchoring of the basal body to the plasma membrane; AURKA Activation by TPX2; GPER1 signaling; ADORA2B mediated anti-inflammatory cytokines production; Factors involved in megakaryocyte development and platelet production; Glucagon-like Peptide-1 (GLP1) regulates insulin secretion; Vasopressin regulates renal water homeostasis via Aquaporins; PKA activation; PKA activation in glucagon signalling; Hedgehog 'off' state; DARPP-32 events; CREB1 phosphorylation through the activation of Adenylate Cyclase","Myometrial relaxation and contraction pathways; G protein signaling pathways; Cannabinoid receptor signaling; Lipid metabolism pathway; Hippo signaling regulation pathways; Hippo-Merlin signaling dysregulation; Calcium regulation in cardiac cells; ADHD and autism (ASD) linked metabolic pathways and SNP; Sudden infant death syndrome (SIDS) susceptibility pathways",27,0,79.6,85.1,83,102.4,101.6,135.3,96.3,106.5,109.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S114(100)]",0,"ENSG00000005249"
"955","NUP98",-0.113056939626873,6.61657974999642,-1.36070526582699,0.204727414105648,0.349858785152269,-6.08120264404294,"NONE",FALSE,"High","Master Protein","P52948","Nuclear pore complex protein Nup98-Nup96 [OS=Homo sapiens]",0,66.832,3,4,4,7,4,1817,197.5,6.4,24.07,4,"cell organization and biogenesis;protein metabolism;transport;other biological processes","other membranes;cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf04096, Pf12110, Pf21240","4928","hsa:4928; P52948; Q8IUT2; Q8WYB0; Q96E54; Q9H3Q4; Q9NT02; Q9UF57; Q9UHX0; Q9Y6J4; Q9Y6J5","ENSG00000110713",NA,"SARS-CoV-2 innate immunity evasion and cell-specific immune response",1,0,93.4,91.7,105.4,99.6,96.1,110.1,92.3,95.9,104.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S612(100); S623(100); S888(100)]",0,"ENSG00000110713"
"956","ZHX3",-0.102910097722185,6.65944710986425,-1.34882419990377,0.208381665555134,0.355731044127593,-6.09597927782358,"NONE",FALSE,"High","Master Protein","Q9H4I2","Zinc fingers and homeoboxes protein 3 [OS=Homo sapiens]",0,23.074,2,1,2,6,1,956,104.6,6.07,14.36,1,"other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00046, Pf11569, Pf18387","23051","E1P5W5; F5H820; hsa:23051; O43145; Q6NUJ7; Q9H4I2","ENSG00000174306",NA,NA,0,0,79.8,73.8,82.4,112.9,122.6,120.9,103.2,112.1,116.6,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S946(99.4)]",0,"ENSG00000174306"
"957","RBMXL1",-0.206817927734166,6.63104093927568,-1.34642178108314,0.209127216203732,0.356630738604483,-6.09895653020217,"NONE",FALSE,"High","Master Protein","Q96E39","RNA binding motif protein, X-linked-like-1 [OS=Homo sapiens]",0,51.529,15,7,7,21,2,390,42.1,9.89,50.39,7,"RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus","nucleic acid binding activity","Pf00076, Pf08081","494115","hsa:494115; Q96E39","ENSG00000213516",NA,NA,0,5,90.9,89.2,92.2,101.8,150.4,95.7,97.8,87.3,112.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S88(100); S189(99.1); S208(100); S326(100); S351(100)]",0,"ENSG00000213516"
"958","ZC3H4",-0.0981062580559655,6.64786249334918,-1.34140663130744,0.210690817706338,0.358590252366405,-6.1051600435041,"NONE",FALSE,"High","Master Protein","Q9UPT8","Zinc finger CCCH domain-containing protein 4 [OS=Homo sapiens]",0,37.902,4,3,3,4,3,1303,140.2,6.27,14.54,3,"RNA metabolism OR transcription;other metabolic processes;other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00642, Pf14608, Pf18044","23211","hsa:23211; Q9UPT8; Q9Y420","ENSG00000130749",NA,NA,0,0,94.5,99.2,105.5,103.1,99.5,105.6,103,98.6,95.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S1114(98.9); S1269(100); S1275(100)]",0,"ENSG00000130749"
"959","KANK2",-0.162496187164194,6.47068952094581,-1.34132701819588,0.210715718149132,0.358590252366405,-6.10525839429869,"NONE",FALSE,"High","Master Protein","Q63ZY3","KN motif and ankyrin repeat domain-containing protein 2 [OS=Homo sapiens]",0,10.197,2,1,1,2,1,851,91.1,5.63,7.13,1,"cell organization and biogenesis;developmental processes;other biological processes","mitochondrion;other cell component",NA,"Pf12075, Pf12796","25959","B0I1P4; hsa:25959; Q3KQZ3; Q63ZY3; Q6GUF5; Q9H8S4; Q9NUP0; Q9P210","ENSG00000197256",NA,NA,0,0,132.8,151.1,118.8,69,72.3,77.4,73,66.8,84.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S375(100)]",0,"ENSG00000197256"
"960","SEMA6D",0.0949552137420735,6.63735462179626,1.33493508912485,0.212722990712515,0.361629084211275,-6.11314172787333,"NONE",FALSE,"High","Master Protein","Q8NFY4","Semaphorin-6D [OS=Homo sapiens]",0,33.642,4,3,3,4,3,1073,119.8,8.51,10.54,3,"cell organization and biogenesis;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;ER/Golgi;other cell component","signal transduction activity or receptor binding","Pf01403, Pf01437","80031","A6NF10; A6NM95; A6NNK1; A7E2A0; hsa:80031; Q8NFY3; Q8NFY4; Q8NFY5; Q8NFY6; Q8NFY7; Q9P249","ENSG00000137872","Other semaphorin interactions","VEGFA-VEGFR2 signaling; IL-18 signaling pathway",3,0,103.3,97.5,102.5,90.2,92.8,100,99.8,107.7,102.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S713(99.6); S931(99.1)]",0,"ENSG00000137872"
"961","CDS2",-0.191097736867383,6.6209440275458,-1.33013998290206,0.214239317466703,0.3638278523472,-6.11903875355856,"NONE",FALSE,"High","Master Protein","O95674","Phosphatidate cytidylyltransferase 2 [OS=Homo sapiens]",0,58.372,11,3,4,11,3,445,51.4,7.09,41.36,3,"cell organization and biogenesis;other metabolic processes","other membranes;mitochondrion;ER/Golgi","other molecular function","Pf01148","8760","B2RDC6; D3DW04; hsa:8760; O95674; Q5TDY2; Q5TDY3; Q5TDY4; Q5TDY5; Q9BYK5; Q9NTT2","ENSG00000101290","Synthesis of PG",NA,1,0,111.3,111.4,106.4,109.3,69.5,114.3,93.3,101.3,79.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S21(100); S33(100)]",0,"ENSG00000101290"
"962","PDPK1",0.104888075552148,6.64187972260444,1.32733432944824,0.215130723486184,0.364961892650158,-6.12248240260029,"NONE",FALSE,"High","Master Protein","O15530","3-phosphoinositide-dependent protein kinase 1 [OS=Homo sapiens]",0,41.965,8,2,3,8,2,556,63.1,7.36,30.71,2,"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cell component","enzyme regulator activity;kinase activity;other molecular function","Pf00069, Pf14593","5170","H0Y4Z0; hsa:5170; O15530; Q59EH6; Q6FI20; Q8IV52; Q9BRD5","ENSG00000140992","Role of LAT2/NTAL/LAB on calcium mobilization; FCERI mediated NF-kB activation; Downstream TCR signaling; CLEC7A (Dectin-1) signaling; Constitutive Signaling by AKT1 E17K in Cancer; PIP3 activates AKT signaling; Regulation of TP53 Degradation; GPVI-mediated activation cascade; CD28 dependent PI3K/Akt signaling; G beta:gamma signalling through PI3Kgamma; RHO GTPases activate PKNs; Activation of AKT2; Integrin signaling; RSK activation; VEGFR2 mediated vascular permeability; VEGFR2 mediated cell proliferation; Estrogen-stimulated signaling through PRKCZ; SARS-CoV-1 targets host intracellular signalling and regulatory pathways; SARS-CoV-2 targets host intracellular signalling and regulatory pathways","MicroRNAs in cardiomyocyte hypertrophy; Integrin-mediated cell adhesion; Thyroid stimulating hormone (TSH) signaling pathway; Glioblastoma signaling pathways; B cell receptor signaling pathway; Interleukin-11 signaling pathway; Brain-derived neurotrophic factor (BDNF) signaling pathway; Cardiac hypertrophic response; Focal adhesion; VEGFA-VEGFR2 signaling; Angiopoietin-like protein 8 regulatory pathway; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; Leptin-insulin signaling overlap; PPAR signaling pathway; Endometrial cancer; PI3K-Akt signaling pathway; EGF/EGFR signaling pathway; Head and neck squamous cell carcinoma; EGFR tyrosine kinase inhibitor resistance; Insulin signaling; Modulators of TCR signaling and T cell activation; GDNF signaling; Primary ovarian insufficiency; Macrophage-stimulating protein (MSP) signaling network map; ErbB signaling pathway; T-cell receptor signaling pathway; Serotonin HTR1 group and FOS pathway",46,0,100.2,103.5,97.8,89.9,98.4,98.5,100.1,101.5,112,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S25(97.9); S241(100)]",0,"ENSG00000140992"
"963","SIPA1L2",0.0951023350387032,6.66945721717169,1.32141850364619,0.21702046087042,0.367785453936163,-6.12972708436697,"NONE",FALSE,"High","Master Protein","Q9P2F8","Signal-induced proliferation-associated 1-like protein 2 [OS=Homo sapiens]",0,51.808,4,5,5,8,5,1722,190.3,6.77,25.61,5,"other biological processes","other cell component","enzyme regulator activity","Pf00595, Pf02145, Pf11881, Pf21022","57568","hsa:57568; Q2TV88; Q5VXR7; Q5VXR8; Q641Q4; Q8NA38; Q96DZ3; Q9H9F6; Q9P2F8","ENSG00000116991",NA,NA,0,0,101.2,103.9,99.4,96,94.9,101.9,110.1,102.1,105.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S162(99.2); S194(99.4); S1461(100); S1488(100); S1652(100)]",0,"ENSG00000116991"
"964","RB1CC1",0.179341468952935,6.63036430231062,1.32001533636942,0.217470715353329,0.36816619030771,-6.13144217159266,"NONE",FALSE,"High","Master Protein","Q8TDY2","RB1-inducible coiled-coil protein 1 [OS=Homo sapiens]",0,25.017,2,3,3,4,3,1594,183,5.41,6.83,3,"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;developmental processes;signal transduction;other biological processes","other membranes;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","other molecular function","Pf10377","9821","hsa:9821; Q86YR4; Q8TDY2; Q8WVU9; Q92601","ENSG00000023287","Macroautophagy","Alzheimer's disease and miRNA effects; PI3K-AKT-mTOR signaling pathway and therapeutic opportunities in prostate cancer; Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway; Autophagy; Perturbations to host-cell autophagy, induced by SARS-CoV-2 proteins; Pleural mesothelioma; Alzheimer's disease; Clock-controlled autophagy in bone metabolism; 8q11.23 (RB1CC1) copy number variation; ADHD and autism (ASD) linked metabolic pathways and SNP",11,0,90.4,96.4,96.5,80.4,123.8,89.3,108.9,101.9,113.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S237(100)]",0,"ENSG00000023287"
