"","Gene Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction","Checked","Protein FDR Confidence: Combined","Master","Accession","Description","Exp. q_value: Combined","Sum PEP Score","Coverage [%]","No Peptides","No Isoforms","No PSMs","No Unique Peptides","No AAs","MW [kDa]","calc. pI","Score Sequest HT: Sequest HT","No Peptides (by Search Engine): Sequest HT","Biological Process","Cellular Component","Molecular Function","Pfam IDs","Entrez Gene ID","Gene ID","Ensembl Gene ID","Reactome Pathways","WikiPathways","No Protein Pathway Groups","No Razor Peptides","Abundances (Grouped): 2G11_Control_DMSO_1","Abundances (Grouped): 2G11_Control_DMSO_2","Abundances (Grouped): 2G11_Control_DMSO_3","Abundances (Grouped): SI8_AD_Abeta42_1","Abundances (Grouped): SI8_AD_Abeta42_2","Abundances (Grouped): SI8_AD_Abeta42_3","Abundances (Grouped): SI8_AD_Abeta42_Losma_1","Abundances (Grouped): SI8_AD_Abeta42_Losma_2","Abundances (Grouped): SI8_AD_Abeta42_Losma_3","Found in Sample: [S1] F1: 126, Sample, 2G11_Control_DMSO_1","Found in Sample: [S2] F1: 127N, Sample, 2G11_Control_DMSO_2","Found in Sample: [S3] F1: 127C, Sample, 2G11_Control_DMSO_3","Found in Sample: [S10] F1: 131, Sample, 2G11_Losma","Found in Sample: [S4] F1: 128N, Sample, SI8_AD_Abeta42_1","Found in Sample: [S5] F1: 128C, Sample, SI8_AD_Abeta42_2","Found in Sample: [S6] F1: 129N, Sample, SI8_AD_Abeta42_3","Found in Sample: [S7] F1: 129C, Sample, SI8_AD_Abeta42_Losma_1","Found in Sample: [S8] F1: 130N, Sample, SI8_AD_Abeta42_Losma_2","Found in Sample: [S9] F1: 130C, Sample, SI8_AD_Abeta42_Losma_3","No Protein Groups","Modifications","missing","ENSEMBL"
"700","TUBA1A",-0.36376295732898,6.5923621138063,-3.37960376859589,0.00743138275655286,0.017325738083849,-3.35376811795239,"NONE",FALSE,"High","Master Protein","Q71U36","Tubulin alpha-1A chain [OS=Homo sapiens]",0,322.324,44,15,21,54,15,451,50.1,5.06,194.19,15,"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cytoplasmic organelle;other cell component","cytoskeletal activity;other molecular function","Pf00091, Pf03953","7846","A8K0B8; G3V1U9; hsa:7846; P04687; P05209; Q71U36","ENSG00000167552","Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; Recycling pathway of L1; MHC class II antigen presentation; Recruitment of mitotic centrosome proteins and complexes; Formation of tubulin folding intermediates by CCT/TriC; Prefoldin mediated transfer of substrate  to CCT/TriC; COPI-dependent Golgi-to-ER retrograde traffic; Kinesins; Intraflagellar transport; The role of GTSE1 in G2/M progression after G2 checkpoint; Translocation of SLC2A4 (GLUT4) to the plasma membrane; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; Gap junction assembly; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Recruitment of NuMA to mitotic centrosomes; Post-chaperonin tubulin folding pathway; RHO GTPases activate IQGAPs; COPI-mediated anterograde transport; COPI-independent Golgi-to-ER retrograde traffic; Carboxyterminal post-translational modifications of tubulin; HCMV Early Events; Assembly and cell surface presentation of NMDA receptors; Activation of AMPK downstream of NMDARs; Aggrephagy; Sealing of the nuclear envelope (NE) by ESCRT-III; PKR-mediated signaling; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Anchoring of the basal body to the plasma membrane; AURKA Activation by TPX2; Hedgehog 'off' state","Alzheimer's disease and miRNA effects; Pathogenic Escherichia coli infection; Parkin-ubiquitin proteasomal system pathway; Alzheimer's disease; PAFAH1B1 copy number variation",42,0,114.2,113.2,108.7,95.1,66.1,99.8,97.9,96.9,85.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S48(100); T73(100); S158(100); S287(100); T334(100)]",0,"ENSG00000167552"
"701","UCKL1",-0.379715919287744,6.44767269942476,-3.37796434923601,0.00745143928034489,0.017347715985054,-3.35654183925874,"NONE",FALSE,"High","Master Protein","Q9NWZ5","Uridine-cytidine kinase-like 1 [OS=Homo sapiens]",0,7.134,3,1,1,2,1,548,61.1,7.36,2.31,1,"other metabolic processes","cytosol;nucleus;other cell component","kinase activity;other molecular function","Pf00485, Pf14681","54963","B7Z8N2; hsa:54963; Q5JWV0; Q70AQ5; Q8N524; Q9H3Z2; Q9NWZ5","ENSG00000198276","Pyrimidine salvage","Pyrimidine metabolism",2,0,128,108.9,125.9,84.6,112.4,91.8,66.8,63.6,68,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S16(99.4)]",0,"ENSG00000198276"
"702","GSK3B",-0.427877324541301,6.59079529135094,-3.37567454044683,0.0074795465268508,0.0173883474812258,-3.36041616126703,"NONE",FALSE,"High","Master Protein","P49841","Glycogen synthase kinase-3 beta [OS=Homo sapiens]",0,61.632,13,3,3,11,3,420,46.7,8.78,43.33,3,"cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cell component","cytoskeletal activity;kinase activity;other molecular function","Pf00069","2932","D3DN89; hsa:2932; P49841; Q9BWH3; Q9UL47","ENSG00000082701","Degradation of GLI2 by the proteasome; GLI3 is processed to GLI3R by the proteasome; Ubiquitin-dependent degradation of Cyclin D; Regulation of RUNX2 expression and activity; Regulation of HSF1-mediated heat shock response; Constitutive Signaling by AKT1 E17K in Cancer; B-WICH complex positively regulates rRNA expression; GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2; CRMPs in Sema3A signaling; Disassembly of the destruction complex and recruitment of AXIN to the membrane; AKT phosphorylates targets in the cytosol; Beta-catenin phosphorylation cascade; Signaling by GSK3beta mutants; CTNNB1 S33 mutants aren't phosphorylated; CTNNB1 S37 mutants aren't phosphorylated; CTNNB1 S45 mutants aren't phosphorylated; CTNNB1 T41 mutants aren't phosphorylated; APC truncation mutants have impaired AXIN binding; AXIN missense mutants destabilize the destruction complex; Truncations of AMER1 destabilize the destruction complex; Maturation of nucleoprotein; Maturation of nucleoprotein","IL-5 signaling pathway; Androgen receptor signaling pathway; Energy metabolism; MicroRNAs in cardiomyocyte hypertrophy; Cell cycle; Leptin signaling pathway; TNF-related weak inducer of apoptosis (TWEAK) signaling pathway; Prolactin signaling pathway; Microtubule cytoskeleton regulation; IL-7 signaling pathway; Alzheimer's disease and miRNA effects; Neural crest differentiation; IL-17 signaling pathway; B cell receptor signaling pathway; Corticotropin-releasing hormone signaling pathway; Brain-derived neurotrophic factor (BDNF) signaling pathway; Cardiac progenitor differentiation; T cell receptor and co-stimulatory signaling; Cardiac hypertrophic response; Focal adhesion; Copper homeostasis; Melatonin metabolism and effects; Wnt signaling pathway; IL6 signaling pathway; Wnt/beta-catenin signaling pathway in leukemia; Regulation of Wnt / B-catenin signaling by small molecule compounds; Physico-chemical features and toxicity-associated pathways; PI3K-AKT-mTOR signaling pathway and therapeutic opportunities in prostate cancer; Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling; T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection; Regulation of apoptosis by parathyroid hormone-related protein; VEGFA-VEGFR2 signaling; Angiopoietin-like protein 8 regulatory pathway; Chemokine signaling pathway; Embryonic stem cell pluripotency pathways; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; miRNA regulation of prostate cancer signaling pathways; Wnt signaling pathway and pluripotency; PI3K/AKT/mTOR - vitamin D3 signaling; Endometrial cancer; PI3K-Akt signaling pathway; Chromosomal and microsatellite instability in colorectal cancer ; Epithelial to mesenchymal transition in colorectal cancer; lncRNA in canonical Wnt signaling and colorectal cancer; Breast cancer pathway; Wnt signaling; Acute viral myocarditis; ncRNAs involved in Wnt signaling in hepatocellular carcinoma; NRF2-ARE regulation; Nonalcoholic fatty liver disease; Synaptic signaling pathways associated with autism spectrum disorder; Gastrin signaling pathway; Thyroid hormones production and peripheral downstream signaling effects; IL-18 signaling pathway; EGFR tyrosine kinase inhibitor resistance; Insulin signaling; Influence of laminopathies on Wnt signaling; MAP3K1 role in promoting and blocking gonadal determination; Overlap between signal transduction pathways contributing to LMNA laminopathies; Glycogen synthesis and degradation; Pleural mesothelioma; CCL18 signaling pathway; Alzheimer's disease; GDNF signaling; DYRK1A involvement regarding cell proliferation in brain development; Neurogenesis regulation in the olfactory epithelium; Sildenafil treatment; Macrophage-stimulating protein (MSP) signaling network map; HDAC6 interactions in the central nervous system; Notch signaling pathway; ErbB signaling pathway; DNA damage response (only ATM dependent)",95,0,111.8,112.4,115.6,76.5,101.8,81.4,87.7,91,108.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S9(99.4); S215(100); T390(98.7)]",0,"ENSG00000082701"
"703","LHFPL3",-1.14986131737475,6.44381437173689,-3.37062831886388,0.00754187695760712,0.0174878465245755,-3.36895515588391,"NONE",FALSE,"High","Master Protein","Q86UP9","LHFPL tetraspan subfamily member 3 protein [OS=Homo sapiens]",0,4.824,4,1,1,6,1,236,25.8,5.95,11.65,1,"other biological processes","plasma membrane;other membranes",NA,"Pf10242","375612","A1L383; A4D0Q5; hsa:375612; Q86UP9","ENSG00000187416",NA,NA,0,0,111.7,117,90,40.1,68.3,30.6,170.7,86.6,146.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S234(100)]",0,"ENSG00000187416"
"704","DCAF5",-0.234606374827568,6.58988610415933,-3.37047517771621,0.00754377693216984,0.0174878465245755,-3.3692143130527,"NONE",FALSE,"High","Master Protein","Q96JK2","DDB1- and CUL4-associated factor 5 [OS=Homo sapiens]",0,38.387,5,4,4,8,4,942,103.9,5.76,21.77,4,"protein metabolism;other metabolic processes;other biological processes","nucleus;other cell component",NA,"Pf00400","8816","B2RN31; G3V4J7; hsa:8816; O60559; Q8N3V3; Q8N3V5; Q96JK2","ENSG00000139990","Neddylation",NA,1,0,104.9,108,110.6,91.2,94.7,96.3,91,94,88.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S648(100); S794(100)]",0,"ENSG00000139990"
"705","PGRMC2",-0.463783432387572,6.59122485708416,-3.36635722593688,0.0075950534087086,0.0175817406567552,-3.37618342984856,"NONE",FALSE,"High","Master Protein","O15173","Membrane-associated progesterone receptor component 2 [OS=Homo sapiens]",0,32.159,12,2,2,5,2,223,23.8,4.88,23.86,2,"transport;signal transduction;other biological processes","ER/Golgi;nucleus;other cell component","transporter activity;other molecular function","Pf00173","10424","hsa:10424; O15173; Q569H1","ENSG00000164040","RHOA GTPase cycle; RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOD GTPase cycle; Heme signaling","Ciliary landscape",7,0,100.7,97.2,84.3,64.9,65.3,66.1,152,114.8,128.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S90(100); S104(100)]",0,"ENSG00000164040"
"706","MTFR1",0.243387484970339,6.64963461935281,3.35284266695365,0.00776588642362493,0.0179512523745405,-3.39906049886692,"NONE",FALSE,"High","Master Protein","Q15390","Mitochondrial fission regulator 1 [OS=Homo sapiens]",0,12.967,8,2,2,2,2,333,37,9.01,6.44,2,"cell organization and biogenesis;other metabolic processes","plasma membrane;other membranes;cytosol;mitochondrion",NA,"Pf05308","9650","E7EP84; hsa:9650; Q15390; Q6IB94; Q7Z669; Q86XH5; Q8IVD7","ENSG00000066855",NA,NA,0,0,79.8,75.9,75.5,91.5,93.7,96.4,131.3,129.7,146.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S119(100); S290(100)]",0,"ENSG00000066855"
"707","RTN4",0.574539944671264,6.67144386044705,3.35199945745557,0.00777667612058831,0.0179512523745405,-3.40048812831904,"NONE",FALSE,"High","Master Protein","Q9NQC3","Reticulon-4 [OS=Homo sapiens]",0,201.37,14,10,16,53,10,1192,129.9,4.5,206.21,10,"cell adhesion;cell organization and biogenesis;stress response;developmental processes;other biological processes","plasma membrane;other membranes;ER/Golgi;nucleus;other cell component","other molecular function","Pf02453","57142","O94962; Q7L7Q5; Q7L7Q6; Q7L7Q8; Q8IUA4; Q96B16; Q9BXG5; Q9H212; Q9H3I3; Q9NQC3; Q9UQ42; Q9Y293; Q9Y2Y7; Q9Y5U6","ENSG00000115310","Axonal growth inhibition (RHOA activation)","Alzheimer's disease and miRNA effects; Spinal cord injury; 22q11.2 copy number variation syndrome; Alzheimer's disease; Neurogenesis regulation in the olfactory epithelium; 13q12.12 copy number variation",7,0,74.6,75.7,85.3,124.1,85.3,144.1,111.7,125.2,96.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S107(100); S111(100); S181(100); S863(99.5); T890(100); S983(100)]",0,"ENSG00000115310"
"708","KLHL9",0.364846135412683,6.61589529862441,3.35030531278667,0.0077984013056733,0.0179759758910435,-3.40335656102479,"NONE",FALSE,"High","Master Protein","Q9P2J3","Kelch-like protein 9 [OS=Homo sapiens]",0,10.005,3,1,1,1,1,617,69.4,6.35,3.8,1,"cell cycle OR cell proliferation;protein metabolism;other metabolic processes;other biological processes","cytosol;other cell component","other molecular function","Pf00651, Pf01344, Pf07707","55958","hsa:55958; Q8TCQ2; Q9P2J3","ENSG00000198642","Neddylation; Antigen processing: Ubiquitination & Proteasome degradation",NA,2,0,65.7,80.3,71.3,96.5,96.4,94.4,123.6,156.4,124,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S603(100)]",0,"ENSG00000198642"
"709","GIT1",0.281088804574997,6.66350433298444,3.34788346952973,0.00782956741871217,0.0180223611104912,-3.40745730879647,"NONE",FALSE,"High","Master Protein","Q9Y2X7","ARF GTPase-activating protein GIT1 [OS=Homo sapiens]",0,59.845,8,4,5,10,4,761,84.3,6.8,30.4,4,"transport;developmental processes;signal transduction;other biological processes","cytosol;cytoskeleton;mitochondrion;other cell component","enzyme regulator activity;cytoskeletal activity;other molecular function","Pf01412, Pf08518, Pf12205, Pf12796, Pf16559","28964","B4DGU9; B4DSV3; hsa:28964; Q86SS0; Q9BRJ4; Q9Y2X7","ENSG00000108262","RHOJ GTPase cycle; CDC42 GTPase cycle; RAC1 GTPase cycle; RHOQ GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOV GTPase cycle; RHOU GTPase cycle; Ephrin signaling; Activation of RAC1 downstream of NMDARs","CAMKK2 pathway; Regulation of actin cytoskeleton",12,0,72.1,80.9,82.1,91.2,101,105.6,120.7,130,144.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S362(99.6); S410(100); S592(100)]",0,"ENSG00000108262"
"710","CRELD2",0.920597288322423,6.56548203958055,3.34470153356144,0.00787071104129142,0.0180915498864614,-3.41284545451162,"NONE",FALSE,"High","Master Protein","Q6UXH1","Protein disulfide isomerase CRELD2 [OS=Homo sapiens]",0,4.965,3,2,2,4,2,353,38.2,4.59,6.41,2,NA,"non-structural extracellular;ER/Golgi","other molecular function","Pf07645","79174","A5GZA2; A5GZA3; A5GZA4; A5GZA5; A5GZA6; hsa:79174; Q4W0V0; Q6UXH1; Q86UC0; Q9BU47","ENSG00000184164",NA,NA,0,0,68.1,61.2,70.1,107.1,220.8,105.3,132.3,79.1,92.2,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S70(99.6)]",0,"ENSG00000184164"
"711","BCLAF1",-0.447084588205672,6.5552509611783,-3.34244162329945,0.00790006836502779,0.0181334902555912,-3.41667254572725,"NONE",FALSE,"High","Master Protein","Q9NYF8","Bcl-2-associated transcription factor 1 [OS=Homo sapiens]",0,368.127,19,28,32,107,28,920,106.1,9.98,298.68,28,"stress response;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf15440","9774","A2RU75; B7ZM58; E1P586; hsa:9774; Q14673; Q86WU6; Q86WY0; Q9NYF8","ENSG00000029363",NA,"Interactome of polycomb repressive complex 2 (PRC2)",1,0,118.8,118.8,116.9,86.2,108.2,74,91.3,77.3,85.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S153(100); S177(100); S183(99.6); S222(100); S285(100); S290(100); S397(100); S496(100); S512(100); S531(100); S648(100); S658(100); S690(100); S884(99.5)]",0,"ENSG00000029363"
"712","PFKFB3",0.547161252654173,6.62912948748443,3.34155630965444,0.00791159988460313,0.0181344536680791,-3.41817185710575,"NONE",FALSE,"High","Master Protein","Q16875","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 [OS=Homo sapiens]",0,14.773,3,1,1,1,1,520,59.6,8.21,4.89,1,"other metabolic processes","cytosol;nucleus","kinase activity;other molecular function","Pf00300, Pf01591","5209","B7Z955; hsa:5209; O43622; O75902; Q16875; Q5VX15; Q5VX18; Q5VX19","ENSG00000170525","Regulation of glycolysis by fructose 2,6-bisphosphate metabolism","AMP-activated protein kinase signaling; Focal adhesion: PI3K-Akt-mTOR-signaling pathway",3,0,85.6,76.7,60.5,112.6,103.4,113.3,100.8,138,126,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S461(100)]",0,"ENSG00000170525"
"713","SRSF4",-0.293308954265463,6.58471650260374,-3.33786109790905,0.00795991968806955,0.0181910178430428,-3.42443019007945,"NONE",FALSE,"High","Master Protein","Q08170","Serine/arginine-rich splicing factor 4 [OS=Homo sapiens]",0,14.257,5,3,5,7,2,494,56.6,11.52,10.41,3,"RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus","nucleic acid binding activity","Pf00076","6429","hsa:6429; Q08170; Q5VXP1; Q9BUA4; Q9UEB5","ENSG00000116350","mRNA Splicing - Major Pathway; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; RNA Polymerase II Transcription Termination","mRNA processing",6,0,117.2,113.2,112,99,98.6,88.6,89.5,89.2,79.9,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S269(100); S456(100)]",0,"ENSG00000116350"
"714","FAM76B",-0.663375239774838,6.48261349028566,-3.33747010834808,0.00796505022836529,0.0181910178430428,-3.42509241630028,"NONE",FALSE,"High","Master Protein","Q5HYJ3","Protein FAM76B [OS=Homo sapiens]",0,8.078,4,1,1,2,1,339,38.7,9.25,7.66,1,NA,"nucleus",NA,"Pf16046","143684","B2R9C2; hsa:143684; Q5HYJ3; Q6PIU3; Q8TC53","ENSG00000077458",NA,NA,0,0,123.7,121.3,145.8,87.3,74.1,82.4,68.9,96.6,60.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S193(100)]",0,"ENSG00000077458"
"715","NME2",0.249915919504859,6.66692204400838,3.33711470604101,0.00796971676334291,0.0181910178430428,-3.42569437324415,"NONE",FALSE,"High","Master Protein","P22392","Nucleoside diphosphate kinase B [OS=Homo sapiens]",0,25.186,22,3,3,3,3,152,17.3,8.41,8.49,3,"cell adhesion;protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","non-structural extracellular;other membranes;cytosol;cytoskeleton;mitochondrion;other cell component","nucleic acid binding activity;kinase activity;other molecular function","Pf00334","4831; 654364","A8MWA3; hsa:4831; hsa:654364; P22392; Q1WM23; Q6LCT6","ENSG00000243678","Neutrophil degranulation; Interconversion of nucleotide di- and triphosphates; Azathioprine ADME; Ribavirin ADME","Pyrimidine metabolism",5,0,85.3,89.4,92.3,113.7,111.1,106.2,102.8,112.5,104.4,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T94(100)]",0,"ENSG00000243678"
"716","SNRNP70",0.291117420157983,6.65354326640842,3.33268191516542,0.00802815880746714,0.0182576205863002,-3.43320277986362,"NONE",FALSE,"High","Master Protein","P08621","U1 small nuclear ribonucleoprotein 70 kDa [OS=Homo sapiens]",0,33.505,11,2,2,3,2,437,51.5,9.94,11.32,2,"RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus","nucleic acid binding activity","Pf00076, Pf12220","6625","B3KUA3; hsa:6625; P08621; P78493; P78494; Q15364; Q15686; Q15687; Q15689; Q99377; Q9UE45; Q9UE46; Q9UE47; Q9UE48; Q9UFQ6","ENSG00000104852","mRNA Splicing - Major Pathway","mRNA processing",2,0,78.8,87.4,85.6,98.5,117.1,110.5,117.3,109.9,108.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S226(100); S320(100)]",0,"ENSG00000104852"
"717","H1-4",-0.348500161757061,6.6181490923281,-3.33237139155113,0.00803226933965014,0.0182576205863002,-3.43372878519235,"NONE",FALSE,"High","Master Protein","P10412","Histone H1.4 [OS=Homo sapiens]",0,135.492,41,12,13,21,4,219,21.9,11.03,58.08,12,"cell organization and biogenesis;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00538","3008","hsa:3008; P10412; Q4VB25","ENSG00000168298","Apoptosis induced DNA fragmentation; Formation of Senescence-Associated Heterochromatin Foci (SAHF)","Pathways affected in adenoid cystic carcinoma",3,9,105.5,102.9,103.7,82.4,68.1,95.2,96,107.9,124.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S104(100); S113(100)]",0,"ENSG00000168298"
"718","WASHC2A",0.225022934388725,6.66286508975847,3.33235713766808,0.00803245807657082,0.0182576205863002,-3.43375293036988,"NONE",FALSE,"High","Master Protein","Q641Q2","WASH complex subunit 2A [OS=Homo sapiens]",0,93.519,8,6,7,18,1,1341,147.1,4.81,56.96,6,"transport;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component","other molecular function","Pf15255","387680","A2A3S2; A2A3U6; hsa:387680; Q5SNT6; Q641Q2; Q6DHY0","ENSG00000099290",NA,NA,0,4,88.7,91.6,96.1,112.3,115.7,110.1,101.6,102,100.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S333(99.7); S498(100); S539(100); S728(100)]",0,"ENSG00000099290"
"719","ARFGAP3",0.26378549461579,6.65745768287493,3.33072022271248,0.00805416315381467,0.018281494112692,-3.43652581597924,"NONE",FALSE,"High","Master Protein","Q9NP61","ADP-ribosylation factor GTPase-activating protein 3 [OS=Homo sapiens]",0,22.285,3,1,2,3,1,516,56.9,7.36,6.75,1,"cell organization and biogenesis;transport","other membranes;cytosol;ER/Golgi","enzyme regulator activity;other molecular function","Pf01412","26286","E9PB03; hsa:26286; Q9BSC6; Q9H9J0; Q9NP61; Q9NT10; Q9NUP5; Q9Y4V3; Q9Y4V4","ENSG00000242247","CDC42 GTPase cycle; RHOG GTPase cycle; COPI-dependent Golgi-to-ER retrograde traffic; COPI-mediated anterograde transport","Ciliary landscape",5,0,84.6,79.8,78.4,104,99,98.7,117.3,131.1,121.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S454(98.9)]",0,"ENSG00000242247"
"720","ABR",0.261883768945294,6.66278457549087,3.32329525810929,0.00815338060627656,0.0184809960408935,-3.44910484340091,"NONE",FALSE,"High","Master Protein","Q12979","Active breakpoint cluster region-related protein [OS=Homo sapiens]",0,29.682,6,2,2,3,2,859,97.5,6.55,12.82,2,"signal transduction;other biological processes","cytosol;other cell component","enzyme regulator activity","Pf00168, Pf00620, Pf00621","29","B3KW89; B7Z6H7; D3DTH3; D3DTH4; F5H3S2; F5H8B3; hsa:29; Q12979; Q13693; Q13694","ENSG00000159842; ENSG00000276016; ENSG00000278741","RAC1 GTPase cycle; NRAGE signals death through JNK; G alpha (12/13) signalling events; RHOC GTPase cycle; RHOA GTPase cycle; CDC42 GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOB GTPase cycle",NA,9,0,92.3,92.7,86.6,111.6,109.9,117.8,96.3,110.2,101.1,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S53(100); S72(100)]",0,"ENSG00000159842"
"721","MTSS2",0.52098933427479,6.59589702675824,3.32069541303667,0.0081884195660783,0.0185346750788347,-3.45350989752394,"NONE",FALSE,"High","Master Protein","Q765P7","Protein MTSS 2 [OS=Homo sapiens]",0,22.086,4,2,2,6,2,747,79.9,7.47,22.25,2,"cell organization and biogenesis;other biological processes","plasma membrane;other membranes;cytoskeleton;other cell component","enzyme regulator activity;cytoskeletal activity;other molecular function","Pf08397","92154","A6NJI7; hsa:92154; Q765P7; Q9BUA8","ENSG00000132613",NA,NA,0,0,59.6,63.2,64.6,78.2,123.7,82.3,139.7,140.8,194.3,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S456(100); S612(100)]",0,"ENSG00000132613"
"722","HP1BP3",-0.313515171203435,6.56288964857118,-3.31460141160119,0.00827116193314257,0.0186960336217295,-3.46383631777834,"NONE",FALSE,"High","Master Protein","Q5SSJ5","Heterochromatin protein 1-binding protein 3 [OS=Homo sapiens]",0,47.587,10,7,7,12,7,553,61.2,9.67,28.53,7,"cell organization and biogenesis;stress response;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00538","50809","A6NI71; A8K5D7; B3KMZ8; B4E210; hsa:50809; Q05BI0; Q5SSJ5; Q5SSJ6; Q5SWC6; Q6PIM9; Q8NDF0; Q9UHY0","ENSG00000127483",NA,NA,0,0,117.2,116.3,109.2,93.2,104.3,85.8,88.2,81.3,81.5,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T51(100); S249(99.6)]",0,"ENSG00000127483"
"723","MVB12B",-0.431328164569322,6.62005370715815,-3.31085277157556,0.00832248868388499,0.0187304848103225,-3.47018917998126,"NONE",FALSE,"High","Master Protein","Q9H7P6","Multivesicular body subunit 12B [OS=Homo sapiens]",0,8.569,3,1,2,2,1,319,35.6,8.15,6.05,1,"cell organization and biogenesis;protein metabolism;other metabolic processes;transport;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component","other molecular function","Pf10240","89853","hsa:89853; Q8N6S7; Q9H7P6","ENSG00000196814","HCMV Late Events; Budding and maturation of HIV virion; Membrane binding and targetting of GAG proteins; Endosomal Sorting Complex Required For Transport (ESCRT); Late endosomal microautophagy",NA,5,0,105.9,106.2,136.7,91.3,63.6,103.8,94,96,98,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [T226(100)]",0,"ENSG00000196814"
"724","AFAP1",-0.323244310871543,6.61976976629299,-3.31082320411422,0.00832289483058617,0.0187304848103225,-3.47023929040844,"NONE",FALSE,"High","Master Protein","Q8N556","Actin filament-associated protein 1 [OS=Homo sapiens]",0,38.528,5,2,3,5,2,730,80.7,8.68,13.17,2,NA,"cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function","Pf00169","60312","A8K442; B4DMU2; E9PDT7; hsa:60312; Q59EY5; Q8N556; Q9HBY1","ENSG00000196526",NA,NA,0,0,109.2,105.3,106.8,80.1,96.8,86.7,100.8,96,110.7,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S265(100); S668(100)]",0,"ENSG00000196526"
"725","NUMA1",-0.242038140958952,6.63549567369256,-3.31071709558324,0.00832435253495695,0.0187304848103225,-3.47041912160151,"NONE",FALSE,"High","Master Protein","Q14980","Nuclear mitotic apparatus protein 1 [OS=Homo sapiens]",0,67.958,2,2,2,8,2,2115,238.1,5.78,33.95,2,"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function","Pf21670","4926","H0YH75; hsa:4926; Q14980; Q14981; Q9BTE9","ENSG00000137497","Recruitment of NuMA to mitotic centrosomes; Mitotic Prophase","Ectoderm differentiation; Ectoderm differentiation; 8p23.1 copy number variation syndrome",5,0,107.3,105.4,111.4,90.5,86.5,101.3,93.5,100.4,102.8,"High","High","High","High","High","High","High","High","High","High",1,"Phospho [S169(100); S1757(99.6)]",0,"ENSG00000137497"
